v8-version,7,8,279,23,-node.57,0
code-creation,Builtin,3,3696,0x13b6000,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3709,0x13b61c0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,3720,0x13b6220,5,InternalArrayConstructor
code-creation,Builtin,3,3730,0x13b6240,5,InternalArrayConstructorImpl
code-creation,Builtin,3,3741,0x13b6260,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,3753,0x13b6320,12,ArrayConcat
code-creation,Builtin,3,3763,0x13b6340,150,ArrayIsArray
code-creation,Builtin,3,3773,0x13b63e0,12,ArrayPrototypeFill
code-creation,Builtin,3,3784,0x13b6400,3916,ArrayFrom
code-creation,Builtin,3,3794,0x13b7360,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,3806,0x13b7740,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,3817,0x13b77e0,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,3851,0x13b78c0,557,ArrayIncludes
code-creation,Builtin,3,3861,0x13b7b00,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,3870,0x13b7e80,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3880,0x13b7f00,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3889,0x13b7f80,565,ArrayIndexOf
code-creation,Builtin,3,3898,0x13b81c0,12,ArrayPop
code-creation,Builtin,3,3908,0x13b81e0,708,ArrayPrototypePop
code-creation,Builtin,3,3917,0x13b84c0,12,ArrayPush
code-creation,Builtin,3,3926,0x13b84e0,2742,ArrayPrototypePush
code-creation,Builtin,3,3937,0x13b8fa0,12,ArrayShift
code-creation,Builtin,3,3946,0x13b8fc0,12,ArrayUnshift
code-creation,Builtin,3,3955,0x13b8fe0,1106,CloneFastJSArray
code-creation,Builtin,3,3964,0x13b9440,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3975,0x13b9e60,1146,ExtractFastJSArray
code-creation,Builtin,3,3985,0x13ba2e0,299,ArrayPrototypeEntries
code-creation,Builtin,3,3997,0x13ba420,279,ArrayPrototypeKeys
code-creation,Builtin,3,4007,0x13ba540,299,ArrayPrototypeValues
code-creation,Builtin,3,4017,0x13ba680,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,4028,0x13bb760,3800,FlattenIntoArray
code-creation,Builtin,3,4038,0x13bc640,3764,FlatMapIntoArray
code-creation,Builtin,3,4047,0x13bd500,528,ArrayPrototypeFlat
code-creation,Builtin,3,4060,0x13bd720,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,4069,0x13bd980,12,ArrayBufferConstructor
code-creation,Builtin,3,4078,0x13bd9a0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,4090,0x13bd9c0,12,ArrayBufferPrototypeGetByteLength
tick,0x7fc2004d605b,4125,0,0x0,6
code-creation,Builtin,3,4145,0x13bd9e0,12,ArrayBufferIsView
code-creation,Builtin,3,4157,0x13bda00,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,4168,0x13bda20,628,AsyncFunctionEnter
code-creation,Builtin,3,4178,0x13bdca0,161,AsyncFunctionReject
code-creation,Builtin,3,4187,0x13bdd60,153,AsyncFunctionResolve
code-creation,Builtin,3,4196,0x13bde00,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,4207,0x13bde20,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,4216,0x13be340,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,4227,0x13be860,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,4238,0x13be920,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,4250,0x13be9e0,12,BigIntConstructor
code-creation,Builtin,3,4260,0x13bea00,12,BigIntAsUintN
code-creation,Builtin,3,4271,0x13bea20,12,BigIntAsIntN
code-creation,Builtin,3,4281,0x13bea40,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,4293,0x13bea60,12,BigIntPrototypeToString
code-creation,Builtin,3,4304,0x13bea80,12,BigIntPrototypeValueOf
code-creation,Builtin,3,4315,0x13beaa0,186,BooleanPrototypeToString
code-creation,Builtin,3,4326,0x13beb60,178,BooleanPrototypeValueOf
code-creation,Builtin,3,4337,0x13bec20,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,4349,0x13bec40,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,4369,0x13bec60,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,4376,0x13bec80,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,4381,0x13beca0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,4387,0x13becc0,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,4393,0x13bece0,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,4399,0x13bed00,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,4404,0x13bed20,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,4410,0x13bed40,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,4415,0x13bed60,12,CallSitePrototypeGetThis
code-creation,Builtin,3,4421,0x13bed80,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,4426,0x13beda0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,4431,0x13bedc0,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,4437,0x13bede0,12,CallSitePrototypeIsEval
code-creation,Builtin,3,4441,0x13bee00,12,CallSitePrototypeIsNative
code-creation,Builtin,3,4446,0x13bee20,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,4452,0x13bee40,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,4457,0x13bee60,12,CallSitePrototypeToString
code-creation,Builtin,3,4462,0x13bee80,12,ConsoleDebug
code-creation,Builtin,3,4466,0x13beea0,12,ConsoleError
code-creation,Builtin,3,4471,0x13beec0,12,ConsoleInfo
code-creation,Builtin,3,4475,0x13beee0,12,ConsoleLog
code-creation,Builtin,3,4480,0x13bef00,12,ConsoleWarn
code-creation,Builtin,3,4484,0x13bef20,12,ConsoleDir
code-creation,Builtin,3,4488,0x13bef40,12,ConsoleDirXml
code-creation,Builtin,3,4492,0x13bef60,12,ConsoleTable
code-creation,Builtin,3,4496,0x13bef80,12,ConsoleTrace
